title,numworks
Hamam (1997), 1
The Hamiltons (2006), 2
Hamlet (1921), 1
Hamlet (1980), 1
Hamlet (1996), 6
Hamlet (2009), 7
Hamlet - All Media Types, 411
Hamlet 2 (2008), 1
Hammer Horror Films, 38
Hancock (2008), 13
A Handful of Dust - All Media Types, 1
아가씨 | The Handmaiden (2016), 7
The Hangover (Movies), 39
Hanna (2011), 28
Hannah Montana The Movie (2009), 3
Hannibal Lecter (Hopkins Movies), 209
Hannibal Lecter Series - All Media Types, 15689
Hannibal Rising (2007), 60
Hanover Street (1979), 2
Hans Christian Andersen (1952), 1
Hansel & Gretel - All Media Types, 295
Hansel and Gretel: Witch Hunters (2013), 237
Happily N'Ever After (2006), 2
Happy Feet (Movies), 5
Happy Now (2001), 1
Hard Candy (2006), 4
Hard Core Logo (1996), 353
A Hard Day's Night (1964), 5
Hard Target (1993), 9
Hard Ticket To Hawaii (1987), 1
Hardcore Henry (2016), 5
Harley Davidson and the Marlboro Man (1991), 2
Harold and Kumar (Movies), 16
Harold and Maude (1971), 2
Harry Potter - J. K. Rowling, 126487
Hart's War (2002), 2
The Harvest (1993), 1
Harvey (1950), 6
Hasta la Vista! | Come As You Are (2011), 1
Hatchet - All Media Types, 2
The Hateful Eight (2015), 15
A Haunted House (2013), 1
The Haunted Mansion (2003), 6
The Haunting (1963), 1
The Haunting (1999), 5
The Haunting in Connecticut (2009), 4
Having You (2013), 1
Havoc (2005), 1
Hawking (2004), 3
Haywire (2011), 20
Heart and Souls (1993), 2
Heartbeats (2010), 1
Heartbreak Ridge (1986), 1
Heartbreakers (2001), 1
Heat (1995), 1
The Heat (2013), 13
Heathers (1988), 300
Heaven (1998), 2
Heaven on Earth (2008), 1
Heavenly Creatures (1994), 4
Hedwig and the Angry Inch (2001), 22
The Heiress (1949), 1
Held der Gladiatoren (2003), 9
Helen of Troy (2003), 2
Hell and Back (2015), 1
Hell or High Water (2016), 11
Hell Ride (2008), 1
Hellbenders (2012), 3
Hellbent (1988), 1
Hellbent (2004), 3
Hellblazer & Related Fandoms, 864
Hellboy (Movies), 299
Hellboy - All Media Types, 385
Hello Dolly! (1969), 1
Hello Herman (2012), 1
Здравствуйте я ваша тётя! | Hello I'm Your Aunt! (1975), 1
Hellraiser & Related Fandoms, 83
Hellraiser (Movies), 66
Help! (1965), 6
ヘルタースケルター - 岡崎京子 | Helter Skelter - Okazaki Kyouko - All Media Types, 1
Heneral Luna (2015), 186
Henry Fool (1997), 2
Henry V (1989), 28
Her (2013), 9
Her Alibi (1989), 1
Her Minor Thing (2005), 1
Herbie (Movies), 4
Hercules (1997), 132
Hercules (2014), 5
Here Comes Mr. Jordan (1941), 1
Yīng Xióng | Hero (2002), 5
Hesher (2010), 1
Hey Cinderella! (1969), 1
Hiccup Series - All Media Types, 3343
Hick (2011), 1
Hickey & Boggs (1972), 1
Hidalgo (2004), 3
陽だまりの彼女 | Hidamari no Kanojo | Girl in the Sunny Place (2013), 1
The Hidden (1987), 2
Hide (2008), 1
Hide and Seek (2005), 1
Hideous Kinky (1998), 1
High Moon (2014), 1
High Noon (1952), 1
High Noon (2009), 4
High Road (2011), 2
High Road to China (1983), 1
High School Musical (Movies), 487
High-Rise (2015), 27
High-Rise (2015) RPF, 3
Highlander (Movies), 149
Highlander - All Media Types, 4459
Highway (2002 Cox), 1
Hikayat Merong Mahawangsa | The Malay Chronicles: Bloodlines (2011), 1
The Hill (1965), 1
The Hills Have Eyes (2006 2007), 23
Der Himmel über Berlin | Wings of Desire (1987), 14
The Hire: The Follow (2001), 1
His Girl Friday (1940), 4
History Boys (2006), 177
History Boys - All Media Types, 243
A History of Violence (2005), 2
The Hitcher (1986), 46
The Hitcher (2007), 11
Hitchhiker's Guide to the Galaxy (2005), 84
Hitman (2007), 20
Hitman: Agent 47 (2015), 65
The Hoarder (2015), 2
The Hobbit (1977), 62
The Hobbit (Jackson Movies), 14889
The Hobbit - All Media Types, 23459
Hobo with a Shotgun (2011), 3
Hobson's Choice (1954), 2
Hocus Pocus (1993), 47
Hogfather (2006), 5
Hoje Eu Quero Voltar Sozinho | The Way He Looks (2014), 25
Holes (2003), 10
Holiday (1938), 6
The Holiday (2006), 11
Hollow Man (2000), 4
Holy Flying Circus (2011), 2
Holy Smoke! (1999), 1
Home (2015), 18
Home Alone (Movies), 13
Home for the Holidays (1995), 2
Home on the Range (2004), 1
Homeward Bound: The Incredible Journey (1993), 4
Les hommes libres | Free Men (2011), 2
Honey 2 (2011), 2
Honeymoon (2014), 2
Hoodlum (1997), 1
Hook (1991), 23
Hoot (2006), 3
Hop (2011), 2
Hope Floats (1998), 1
Hornets' Nest (1970), 1
Horns - All Media Types, 4
Horrible Bosses (Movies), 9
Horror of Dracula (1958), 10
The Horror of Party Beach (1964), 1
The Host (2013), 7
Hostel (Movies), 8
Hot Fuzz (2007), 368
Hot Pursuit (2015), 3
Hot Rod (2007), 1
Hot Shots! (Movies), 1
全城热恋 | Hot Summer Days (2010), 1
Hot Tub Time Machine (2010), 14
Hotel Rwanda (2004), 1
Hotel Transylvania (Movies), 69
Hounddog (2007), 1
Hour of the Gun (1967), 1
The Hours (2002), 7
House at the End of the Street (2012), 1
The House Bunny (2008), 1
House II: The Second Story (1987), 2
The House is Burning (2006), 2
House of 1000 Corpses (Movies), 18
House of 9 (2005), 1
House of the Dead (2003), 1
The House of the Devil (2009), 1
House of Usher (1960), 1
House of Wax (2005), 23
How Green Was My Valley (1941), 1
Как я провёл этим летом | How I Ended This Summer (2009), 10
How Stella Got Her Groove Back (1998), 1
How the Grinch Stole Christmas (2000), 7
How to Be a Serial Killer (2008), 4
How to Be Single (2016), 1
How to Build a Better Boy (2014), 1
How To Lose a Guy in 10 Days (2003), 3
How to Steal a Million (1966), 2
How to Train Your Dragon (Movies), 3316
Howard the Duck (1986), 3
Howards End (1992), 6
Howl (2015), 1
The Howling: Reborn (2011), 1
Huā Mùlán | Mulan (2009), 5
Hugo (2011), 7
Hulk (2003), 45
Hulk Vs. (Movies), 3
Hum Tumhare Hain Sanam | I Am Yours Darling (2002), 1
The Human Centipede (Movies), 1
Hummingbird | Redemption (2013), 1
The Hunchback of Notre Dame (1996), 163
The Hundred-Foot Journey (2014), 4
Hundtricket (2000), 3
Hundtricket | The Dog Trick (2002), 1
The Hunger (1983), 22
Hunger (2008), 3
The Hunger Games (Movies), 2371
Hunger Games Series - All Media Types, 8906
The Hunt for Red October (1990), 12
The Hunted (2003), 3
The Hunters (2013), 4
The Huntsman (Movies), 254
The Hurt Locker (2008), 64
Hush (2016 Flanagan), 2
Hysteria (2011), 10
Hævnen | In a Better World (2010), 6
Item 47 (Marvel Short Film), 12
I Am Legend (2007), 3
I Am Number Four (2011), 39
I Am the Pretty Thing That Lives in the House (2016), 1
我愿意 | I Do (2012), 1
I due superpiedi quasi piatti | Crime Busters (1977), 1
I Frankenstein (2014), 14
I Heart Huckabees (2004), 6
I Know Where I'm Going! (1945), 1
I Love You Man (2009), 2
I Love You Phillip Morris (2009), 4
I Love You to Death (1990), 5
I quattro dell'Ave Maria | Ace High (1968), 1
I Robot (2004), 10
I Saw the Light (2015), 6
I Spit on Your Grave (1978), 2
I'll Be There (2003), 2
I'm Yours (2011), 1
Ice Age (Movies), 39
Ice Castles (1978), 2
Ice Men (2004), 9
Ice Princess (2005), 4
Ice Station Zebra (1968), 1
The Ice Storm (1997), 2
Ida (2013), 1
An Ideal Husband (1999), 1
Identity Thief (2013), 1
The Ides of March (2011), 1
Idlewild (2006), 1
If I Had Wings (2013), 4
If These Walls Could Talk 2 (2000), 1
if.... (1968), 3
Igby Goes Down (2002), 7
Ignition (2002), 1
Igor (2008), 2
イキガミ | Ikigami - All Media Types, 1
Ikiru (1952), 1
The Illusionist (2006), 6
Imaginary Heroes (2004), 2
Imagine Me & You (2005), 31
The Imitation Game (2014), 68
The Immigrant (2013), 2
The Immortal Augustus Gladstone (2013), 1
Immortal Beloved (1994), 1
Immortals (2011), 10
Imogene | Girl Most Likely (2013), 2
Impact (2008), 1
The Impossible Elephant (2001), 1
Imprint (2007), 2
Impromptu (1991), 2
In A Shallow Grave (1988), 3
In and Out (1997), 15
In Bruges (2008), 7
In Dreams (1999), 10
In God's Hands (1998), 2
In Secret (2013), 2
In the Bleak Midwinter (1995), 1
In The Cut (2003), 2
In the Heart of the Sea (2015), 16
In the Kingdom of the Blind the Man with One Eye Is King (1995), 1
In The Line of Duty: The FBI Murders (1988), 1
In the Line of Fire (1993), 1
In the Loop (2009), 24
In the Loop (2009) & The Thick of It, 852
In the Name of the Father (1993), 1
In Time (2011), 28
In Your Eyes (2014), 7
Inappropriate Behaviour (1987), 1
Inception (2010), 8103
The Incident | Asylum Blackout (2011), 2
The Incredible Burt Wonderstone (2013), 1
The Incredible Hulk - All Media Types, 1682
The Incredible Hulk (2008), 796
The Incredible Shrinking Man (1957), 1
The Incredibles (2004), 150
Incredibly True Adventure of Two Girls in Love (1995), 1
Independence Day (Movies), 68
Indestructible Man (1956), 1
Indian Runner (1991), 5
Indiana Jones Series, 248
無間道 | Infernal Affairs (Movies), 2
Inferno (2016), 1
Inglourious Basterds (2009), 184
Обитаемый остров | The Inhabited Island, 1
Ink (2009), 2
Inkheart (2008), 33
The Inkwell (1994), 1
Innerspace (1987), 2
Innocent Blood (1992), 1
The Insatiable (2006), 1
Inseparable (2007 Short), 4
Inside Daisy Clover (1965), 1
Inside I'm Dancing (2004), 3
Inside Job (2010), 1
Inside Llewyn Davis (2013), 29
Inside Man (2006), 1
Inside Out (2015), 141
Insidious (Movies), 33
Insomnia (2002), 1
Inspector Gadget (Live Action Movies), 3
Instant Credit (2004), 1
The Intern (2015), 2
Internal Affairs (1990), 1
The Internship (2013), 41
The Interpreter (2005), 1
Interstate 60 (2002), 4
Interstellar (2014), 81
The Interview (2014 Goldberg & Rogen), 2
The Interview (2014), 4
Interview With the Vampire (1994), 141
Interzone (1987), 1
Into the Blue (2005), 2
Into the Fire (2005), 1
Into The Storm (2014), 13
Into The White (2012), 2
Into the Wild (2007), 1
Into the Woods (2014), 48
Intouchables (2011), 2
Invasion of the Body Snatchers (1956), 2
Invasion of the Body Snatchers - All Media Types, 4
The Invisible (2007), 6
The Invisible Man - All Media Types, 183
The Invisible Man (1933), 2
The Invisible Man Returns (1940), 1
Invisible Sister (2015), 1
The Invitation (2015), 1
Invitation to the Dance (1956), 1
葉問 | Ip Man (Movies), 4
Iqbal (2005), 1
Iris (2001 Eyre), 1
Iron Giant (1999), 21
Iron Lady (2011), 8
Iron Man - All Media Types, 16222
Iron Man (Movies), 13857
Iron Sky (2012), 1
Iron Will (1994), 1
Iron-Jawed Angels (2004), 2
Ирония судьбы | The Irony of Fate (Movies), 1
Irrefutable Truth About Demons (2000), 8
不可抗力 | Irresistable Love (2016) RPF, 1
The Island (2005), 21
Island (2011), 1
Island City (1994), 3
The Island of Dr. Moreau (1996), 4
L'Ispettore Coliandro (Movies), 3
Istanbul (1985), 1
It (1927), 1
IT (2017), 1
It Came from Outer Space (1953), 1
It Conquered The World (1956), 1
It Follows (2014), 6
It Happened One Night (1934), 2
It! The Terror from Beyond Space (1958), 2
It's a Boy Girl Thing (2006), 1
It's a Wonderful Life (1946), 26
It's Always Fair Weather (1955), 1
It's Complicated (2010), 8
俺俺 | It's Me It's Me (2013), 3
The Italian job (1969), 1
Italian Job (2003), 9
Item 47 (Marvel Short Film), 12
Justin and the Knights of Valour (2013), 1
J'ai tué ma mère | I Killed My Mother (2009), 4
J'en suis! (1997), 1
J. Edgar (2011), 10
Jab We Met (2007), 4
Jack & Diane (2012), 2
Jack and the Beanstalk - All Media Types, 42
Jack et la mécanique du cœur | Jack and the Cuckoo-Clock Heart (2013), 5
Jack Frost (1979), 2
Jack Ketchum's The Girl Next Door (2007), 1
Jack Reacher (Movies), 6
Jack Ryan & Related Fandoms, 37
Jack Ryan: Shadow Recruit (2014), 19
Jack the Giant Killer - All Media Types, 32
Jack the Giant Slayer (2013), 31
자칼이 온다 | Jackal Is Coming, 1
Jackass (Movies) RPF, 29
Jackie Brown (1997), 1
Jacob (2011), 1
Jade (1995), 4
Jagten | The Hunt (2012), 53
Jailhouse Rock (1957), 1
James Bond (Classic movies), 189
James Bond (Craig movies), 7345
James Bond (Movies), 7807
James Bond - All Media Types, 8006
Jamesy Boy (2014), 1
Jamie Marks is Dead (2014), 4
The Jane Austen Book Club (2007), 18
Jane Doe (2001), 1
Jane Eyre (2011), 38
Jane Eyre - All Media Types, 173
Jane Got A Gun (2016), 2
The January Man (1989), 4
Jarhead (2005), 6
Jason Bourne (2016), 3
Jawbreaker (1999), 4
Jaws (Movies), 19
Jay and Silent Bob Strike Back (2001), 4
Je suis le seigneur du château | I'm the King of the Castle (1989), 1
Jeeja Due Suai Du | Raging Phoenix (2009), 1
Jeepers Creepers (2001), 4
Jeepers Creepers 2 (2003), 2
Jennifer's Body (2009), 39
Jenny's Wedding (2015), 3
Jersey Boys (2014), 1
Jersey Girl (1992), 1
Jesse Stone (Movies), 2
Jesus Christ Superstar - All Media Types, 65
Jesus Christ Vampire Hunter (2001), 1
Jet Boy (2001), 3
Jeux D'Enfants | Love Me If You Dare (2003), 3
Jhoom Barabar Jhoom (2007), 1
Jiàn Yǔ | Reign of Assassins (2010), 1
Jigoku (1960), 1
Jimmy's Hall (2014), 1
Jìng Hung Būn Sìk | A Better Tomorrow (1986), 1
Jisatsu Circle | Suicide Club (2002), 2
Joe Versus the Volcano (1990), 1
John Carter (2012), 16
John Dies at the End (2012), 9
John Tucker Must Die (2006), 1
John Wick (Movies), 40
Johnny English Series, 1
Jonah Hex (2010), 14
Jongens | Boys (2014), 15
Joseph: King of Dreams (2000), 5
Josh (2000), 1
Josh Kirby...Time Warrior!, 1
Josie and the Pussycats (2001), 5
The Journey of Natty Gann (1985), 2
Journey Series (Movies), 4
Joy Ride (2001), 2
Joyeux Noel | Merry Christmas (2005), 5
Ju-on: The Grudge (2002), 3
Judas Kiss (2011), 12
Judd Apatow Universe, 57
Judex (1916), 3
The Judge (2014), 4
Judge Dredd - All Media Types, 303
Judge Dredd (1995), 3
Judgment at Nuremburg (1961), 1
Jug Face (2013), 1
Julie & Julia (2009), 2
Jumanji (1995), 24
Jumper (2008), 78
Jumpin' Jack Flash (1986), 2
Jumping Ship (2001), 3
Junebug (2005), 1
The Jungle Book (1967), 36
The Jungle Book (1994), 4
The Jungle Book (2016), 17
The Jungle Book (2018), 1
The Jungle Book - All Media Types, 87
Jungle Captive (1945), 2
Junior (1994), 4
Juno (2007), 14
Jupiter Ascending (2015), 673
Jurassic Park (1993), 99
Jurassic Park (Movies), 1454
Jurassic Park - All Media Types, 1466
Jurassic Park III (2001), 110
Jurassic World (2015), 1069
Just Like Heaven (2005), 8
Just My Luck (2006), 9
Just One Of The Girls (1993), 2
Just One of the Guys (1985), 1
Justice League (2017), 55
Justice League vs. Teen Titans (2016), 14
Justice League: Crisis on Two Earths, 53
Justice League: Gods and Monsters (2015), 43
Justice League: The Flashpoint Paradox, 19
Justice League: Throne of Atlantis (2015), 7
Justice League: War, 22
Justin and the Knights of Valour (2013), 1
Kyounetsu no Kisetsu | The Warped Ones (1960), 1
K-20: Kaijin nijuu mensou den | K-20: The Fiend with Twenty Faces (2008), 2
K2: The Ultimate High (1991), 2
Kabhi Alvida Naa Kehna (2006), 1
Kaboom (2010), 6
Kahaani | Story (2012), 2
Kal Ho Naa Ho (2003), 12
Kalifornia (1993), 1
Kama Sutra: A Tale of Love (1996), 1
Kamen Rider - All Media Types, 2116
Kamen Rider The Next, 3
Kaminey | Scoundrels (2009), 17
神さまの言うとおり | Kamisama no Iu Toori (2014), 2
Kamisama no Karute (2011), 1
Karate Kid (Movies), 18
Kate & Leopold (2001), 10
Keeping Mum (2005), 2
Keeping the Faith (2000), 4
Ken Park (2002), 1
Khakee (2004), 1
Kick-Ass (2010), 90
Kick-Ass (Movies), 100
Kickboxer: Vengeance (2016), 1
Kicking & Screaming (1995), 1
Kid (1990), 1
The Kids Are All Right (2010), 1
Kiiroi Namida | Yellow Tears (2007), 1
Kill Bill (Movies), 93
Kill Me Three Times (2014), 2
Kill Ratio (2016), 1
Kill Your Darlings (2006), 2
Kill Your Darlings (2013), 92
Killer Joe (2011), 13
Killing Season (2013), 2
金田一少年の事件簿 | Kindaichi Shounen no Jikenbo | Kindaichi Case Files - All Media Types, 5
The King & I - All Media Types, 7
왕의 남자 | The King and the Clown (2005), 2
King Arthur (2004), 542
King Kong (1933), 6
King Kong (2005), 16
The King's Speech (2010), 69
The Kingdom (2007), 6
Kingdom of Heaven (2005), 42
Kingdom of the Spiders (1977), 1
The Kings of Summer (2013), 3
Kingsman (Movies), 5989
Kinky Boots (2005), 17
Kinsey (2004), 2
Kiss Kiss Bang Bang (2005), 127
Kiss of the Spider Woman - All Media Types, 3
The Kiss of the Vampire (1963), 1
Kiss Tomorrow Goodbye (2000), 2
Kissing Jessica Stein (2001), 3
Klown (2010), 1
Kniga Masterov | The Book of Masters (2009), 1
Knight and Day (2010), 11
Knight Rider 2000, 19
A Knight's Tale (2001), 105
Knockaround Guys (2001), 29
Knocked Up (2007), 1
Koi... Mil Gaya | I Found Someone (2003), 1
Kong: Skull Island (2017), 21
Kongen av Bastøy | King of Devil's Island (2010), 1
A koppányi aga testamentuma (1967), 2
Королёв | Korolyov (2007), 1
Kramer vs. Kramer (1979), 1
Krampus (2015), 9
Der Krieger und die Kaiserin | The Princess and the Warrior (2000), 1
Krrish (2006), 1
Krull (1983), 1
Krzyżacy | The Knights of the Cross - All Media Types, 1
Kubo and the Two Strings (2016), 60
Kuch Kuch Hota Hai | Something Happens (1998), 2
Kung Fu Panda - All Media Types, 115
Kuroshitsuji (2014), 33
Kyougokudou Series - Kyougoku Natsuhiko, 4
Kyounetsu no Kisetsu | The Warped Ones (1960), 1
L’Uomo puma | The Pumaman (1980), 2
L'inconnu du lac | Stranger by the Lake (2013), 1
L.A. Confidential (1997), 46
L.I.E. (2001), 1
爵迹 | L.O.R.D.: Legend of Ravaging Dynasties (2016), 2
La La Land (2016), 23
El Laberinto del Fauno | Pan's Labyrinth (2006), 42
Labyrinth (1986), 1606
Ladies in Lavender (2004), 3
Lady and the Tramp (1955), 41
Lady Chatterley’s Lover (2015), 1
The Lady Eve (1941), 1
Lady in the Water (2006), 1
Lady Jane (1986), 5
修羅雪姫 | Lady Snowblood, 1
Ladyhawke (1985), 82
The Ladykillers (1955), 1
Lagaan (2001), 1
Laggies (2014), 3
Laid to Rest (2009), 1
The Lair of the White Worm (1988), 2
The Lake House (2006), 3
Lake Placid (1999), 6
蓝宇 | Lan Yu (2001), 2
The Land Before Time (Movies), 17
Land of the Dead (2005), 9
Lars and the Real Girl (2007), 5
Last Chance Harvey (2008), 3
The Last Five Years (2014), 11
The Last Hour (2014), 1
Last House on the Left (2009), 3
The Last King (2016), 1
The Last King of Scotland (2006), 10
Last Knights (2015), 3
The Last Legion (2007), 2
The Last Mimzy (2007), 1
Last Night (1998), 16
Last Night (2010), 3
Last of the Mohicans (1992), 34
The Last Samurai (2003), 16
The Last Song (2010), 1
The Last Starfighter (1984), 6
The Last Station (2009), 6
The Last Time I Saw Richard (2014), 2
The Last Unicorn (1982), 15
The Last Unicorn - All Media Types, 96
The Last Witch Hunter (2015), 6
Last Year at Marienbad (1961), 1
Låt den rätte komma in | Let the Right One In (2008), 24
A Late Quartet (2012), 1
Latter Days (2003), 50
Laurel Canyon (2002), 1
Lava (2014), 1
Lavalantula (2015), 1
Lawless (2012), 38
Lawn Dogs (1997), 1
Lawrence of Arabia (1962), 83
Laws of Attraction (2004), 5
Layer Cake (2004), 5
The Lazarus Bowl, 1
The Lazarus Effect (2015), 1
Lazer Team (2015), 74
마당을 나온 암탉 | Leafie A Hen into the Wild (2011), 1
The League of Extraordinary Gentlemen (2003), 61
League of Gentlemen's Apocalypse (2005), 1
A League of Their Own (1992), 26
Leap Year (2010), 3
Learners (2007), 4
Das Leben der Anderen | The Lives of Others (2006), 3
Leeches! (2003), 2
Legacy (2013), 1
Legally Blonde (Movies), 21
Legally Blonde - All Media Types, 66
Legend (1985), 28
Legend (2015), 63
The Legend of Barney Thomson (2015), 15
The Legend of Bloody Mary (2008), 1
The Legend of Hell House (1973), 1
The Legend of Hercules (2014), 2
The Legend of Sleepy Hollow - All Media Types, 2030
The Legend of Tarzan (2016), 14
精武風雲·陳真 l Legend of the Fist: The Return of Chen Zhen (2010), 2
Legend of the Guardians: The Owls of Ga'Hoole (2010), 2
笑侠楚留香 | Legend of the Liquid Sword (1993), 3
Legendary (2010), 1
Legends of Oz: Dorothy's Return (2014), 2
Legends of the Hidden Temple (2016), 1
La leggenda del pianista sull'oceano | The Legend of 1900 (1998), 8
Legion (2010), 62
The LEGO Batman Movie (2017), 70
LEGO Batman: The Movie - DC Super Heroes Unite (2013), 1
The LEGO Movie (2014), 265
LEGO Star Wars - All Media Types, 8
Lemonade Mouth (2011), 25
Leo the Lion (2013), 1
Léon | The Professional (1994), 19
Leprechaun (Movies), 1
Les Dissociés (2015), 6
Lesbian Vampire Killers (2009), 2
Less than Zero (1987), 8
Let Me In (2010), 2
让子弹飞 | Let the Bullets Fly (2010), 4
Let Us Prey (2014), 2
Let's Go to Prison (2006), 2
Lethal Weapon (Movies), 18
Letters to Juliet (2010), 3
Liar Liar (1997), 2
Liberal Arts (2012), 1
The Liberator (2013), 1
The Libertine (2004), 2
The Librarian (Movies), 31
License to Drive (1988), 1
Lie With Me (2005), 1
Life (2015), 1
Life (2017), 1
Life After Beth (2014), 3
The Life and Death of Colonel Blimp (1943), 31
The Life Aquatic With Steve Zissou (2004), 1
Life as a House (2001), 6
Life as We Know It (2010), 1
Life Before This (1999), 1
Life Inside Out (2013), 1
A Life Less Ordinary (1997), 3
Life of Pi - All Media Types, 8
Life or Something Like It (2002), 1
Lifeforce (1985), 2
The Light Between Oceans (2016), 3
Lightbulb | Ingenious (2009), 1
Lights Out (2016), 1
Like Crazy (2011), 1
Like Minds | Murderous Intent (2006), 10
Lilies (1996), 2
Lilo & Stitch (2002), 242
Limitless (2011), 2
Lincoln (2012), 3
The Lincoln Lawyer (2011), 1
The Linguini Incident (1991), 3
The Lion in Winter (1968), 26
The Lion in Winter - All Media Types, 33
The Lion King (1994), 227
Litchi Hikari Club | Lychee Light Club, 20
Little Children (2006), 2
The Little Death (2014 Lawson), 1
Little Favour (2013), 13
Little Fish (2005), 1
Little Giants, 3
Little Manhattan (2005), 1
The Little Mermaid - All Media Types, 505
The Little Mermaid (1989), 373
Little Miss Sunshine, 18
Little Monsters (1989), 3
Little Nemo: Adventures in Slumberland (1989), 6
A Little Princess (1995), 10
Little Red Riding Hood - All Media Types, 215
A Little Romance (1979), 1
Little Shop of Horrors (1986), 31
Little Shop of Horrors - All Media Types, 50
The Little Vampire (2000), 7
The Little White Horse | Moonacre - All Media Types, 17
Little Women (1994), 4
Living in a Big Way (1947), 1
The Living Wake (2007), 1
Lloyd Neck (2008), 1
The Lobster (2015), 6
Local Hero (1983), 6
Lock Stock and Two Smoking Barrels (1998), 3
Locke (2013), 2
Lockout (2012), 3
The Loft (2014), 8
Logan's Run (1976), 6
Lola Rennt | Run Lola Run (1998), 1
Lolita (1962), 2
Lolita (1997), 6
LolliLove (2004), 1
London (2005), 3
Lone Hero (2002), 8
The Lone Ranger (2013), 46
The Lone Ranger - All Media Types, 53
The Long Kiss Goodnight (1996), 2
The Lookout (2007), 2
Looper (2012), 22
The Lorax (2012), 184
The Lord Inquisitor (Fan Film), 1
上海皇帝 | Lord of East China Sea (Movies), 2
Lord of Illusions (1995), 2
The Lord of the Rings (Movies), 4181
The Lord of the Rings - All Media Types, 17727
Lord of War (2005), 10
Lore (2012), 1
The Lorien Legacies - All Media Types, 148
The Losers (2010), 1348
The Losers - All Media Types, 1846
Losing Chase (1996), 5
Lost and Delirious (2001), 5
關雲長ㅣThe Lost Bladesman (2011), 5
Lost Boys (Movies), 356
Lost in Space (1998), 6
Lost in Translation (2003), 8
The Lost Skeleton of Cadavra (2001), 2
Lost World: Jurassic Park (1997), 25
宝莲灯 | Bǎo Lián Dēng | Lotus Lantern (1999), 2
Love & Friendship (2016), 1
Love & Human Remains (1993), 2
Love Actually (2003), 79
Love and Honor (2013), 1
Love and Human Remains - All Media Types, 2
Love and Other Disasters (2006), 2
Love at First Bite (1979), 2
The Love Child (1988), 1
Love Comes Softly (2003), 1
Love Comes to the Executioner (2006), 1
The Love Letter (1998), 1
微微一笑很傾城 | Love O2O (2016), 5
รักแห่งสยาม | The Love of Siam (2007), 1
Love Potion No. 9 (1992), 1
Love Rosie (2014), 7
Love Song (2000), 4
Love the Hard Way (2001), 2
土豪520 | Tuhao520 | Love Without Distance (2015), 1
Love! Valour! Compassion! - All Media Types, 3
The Loved Ones (2009), 2
恋人絮语 | Lover's Discourse (2010), 1
Lovestruck: The Musical (2013), 1
Loving Annabelle (2006), 13
Lucía y el sexo | Sex and Lucía (2001), 1
Luck by Chance (2009), 2
The Luck of the Irish (2001), 3
Lucky Number Slevin (2006), 8
Lucy (2014), 10
Lunch With Charles (2001), 3
Lust for a Vampire (1971), 1
Luster (2002), 1
Lymelife (2008), 1
L’Uomo puma | The Pumaman (1980), 2
Mænd & høns | Men & Chicken (2015), 45
Ma Vie En Rose (1997), 1
Mach GoGoGo | Speed Racer, 45
Machete (2010), 8
The Machinist (2004), 1
Mack the Knife (1989), 2
Mad Love (1935), 3
Mad Max Series (Movies), 2147
Mad to Be Normal (2017), 1
Madagascar (Movies), 38
Madame Claude | The French Woman (1977), 2
Mädchen in Uniform | Girls in Uniform (1931), 3
Mädchen in Uniform | Girls in Uniform (1958), 1
Maddie (2015 Short Film), 1
Made in Britain (1982), 2
Made In Heaven (1987), 1
Madea Series (Movies), 3
Le magasin des suicides | The Suicide Shop (2012), 1
Maggie (2015), 1
Maggie's Plan (2015), 1
Magic Mike (Movies), 68
The Magic of Ordinary Days (2005), 6
Magicians (2007), 1
The Magnificent Seven (1960), 12
The Magnificent Seven (2016), 546
Maid in Manhattan (2002), 1
Main Hoon Na (2004), 2
The Major and the Minor (1942), 1
Major League (1989), 2
Make the Yuletide Gay (2009), 4
La mala educación | Bad Education (2004), 1
Maleficent (2014), 567
Les Malheurs de Sophie | The Misfortunes of Sophie - All Media Types, 1
Malice in Wonderland (2009), 2
Mallrats (1995), 5
Malpertuis - All Media Types, 1
The Maltese Falcon (1941), 7
Mama (2013), 3
Mambo Italiano (2003), 1
Mamma Mia! (2008), 31
A Man Apart (2003), 3
The Man From Earth (2007), 3
아저씨 | The Man from Nowhere (2010), 4
The Man From U.N.C.L.E. (2015), 2013
The Man in the Iron Mask (1998), 9
A Man of No Importance (1994), 1
Man of Steel (2013), 363
Man of Tai Chi (2013), 7
Man Up (2015), 1
Man Who Fell to Earth (1976), 22
The Man Who Knew Infinity (2015), 2
The Man Who Knew Too Little (1997), 1
The Man With the Iron Fists (2012), 2
Man With The Screaming Brain (2005), 1
Man-Made Monster (1941), 1
Manchester By The Sea (2016), 1
The Manchurian Candidate (1962), 1
The Manchurian Candidate (2004), 2
Mandie (Movies), 2
The Mangler (1995), 1
Manhunter (1986), 8
Mansfield Park (1999), 3
Mansfield Park (2007), 8
Mansfield Park - All Media Types, 84
Margin Call (2011), 23
El Mariachi Trilogy (Movies), 108
El marido perfecto | The Perfect Husband (1993), 1
Marie Antoinette (2006), 7
Marilyn Hotchkiss' Ballroom Dancing & Charm School (2005), 3
The Marine (Movies), 1
The Mark of Zorro (1940), 1
Martha Marcy May Marlene (2011), 2
The Martian (2015), 407
The Martian - All Media Types, 572
Le martyre de Saint-Sébastien | The Martyrdom of St. Sebastian (1984), 1
Martyrs (2008), 2
Marvel, 225886
